,Initial position,Final position,Distance Travelled,Velocity,Class
0,79.86,81.42,1.56,0.38818011,Stationary
1,83.63,81.29,-2.34,-0.582487009,Stationary
2,83,84.75,1.75,0.435435026,Stationary
3,81.05,84.82,3.77,0.938064144,Stationary
4,81.4,81.75,0.35,0.087072077,Stationary
5,87.95,118.49,30.54,7.596354041,Slow Leaving
6,138.63,136.58,-2.05,-0.509224548,Stationary
7,136.51,136.72,0.21,0.05216543,Stationary
8,136.78,136.38,-0.4,-0.099362282,Stationary
9,117.89,98.39,-19.5,-4.843979815,Slow Approaching
10,82.01,70.11,-11.9,-2.961133313,Slow Approaching
11,60.6,41.31,-19.29,-4.804163833,Slow Approaching
12,34.4,43.66,9.26,2.306758912,Slow Leaving
13,51.99,63.79,11.8,2.93788909,Slow Leaving
14,91.12,97.76,6.64,1.651231177,Slow Leaving
15,112.89,123.86,10.97,2.726425881,Slow Leaving
16,146.3,180.07,33.77,8.380735023,Slow Leaving
17,152.24,98.17,-54.07,-13.43699918,Slow Approaching
18,60.62,27.96,-32.66,-8.134700244,Slow Approaching
19,16.77,1211,1194.23,292.6829814,Fast Leaving
20,12.03,12.62,0.59,0.147065847,Stationary
21,28.86,42.2,13.34,3.323513158,Slow Leaving
22,51.78,67.57,15.79,3.931108214,Slow Leaving
23,81.77,99.49,17.72,4.407610719,Slow Leaving
24,124.45,1210.86,1086.41,265.8052259,Fast Leaving
25,159.3,170.58,11.28,2.800015288,Slow Leaving
26,173.16,173.95,0.79,0.196027633,Stationary
27,176.08,173.51,-2.57,-0.637678533,Stationary
28,172.35,176.14,3.79,0.940834556,Stationary
29,197.86,217.94,20.08,4.977753578,Slow Leaving
30,220.43,1211.06,990.63,242.0246039,Fast Leaving
31,248.75,1210.98,962.23,234.9880865,Fast Leaving
32,285.54,1211.09,925.55,225.9086824,Fast Leaving
33,320.38,199.58,-120.8,-29.89415591,Fast Approaching
34,154.43,81.52,-72.91,-18.12463589,Slow Approaching
35,24.93,56.29,31.36,7.811251408,Slow Leaving
36,105.15,139.55,34.4,8.5485595,Slow Leaving
37,167.17,105.68,-61.49,-15.27428769,Slow Approaching
38,22.13,15.64,-6.49,-1.617703744,Slow Approaching
39,25.87,48.96,23.09,5.754918858,Slow Leaving
40,72.64,1211.13,1138.49,278.6907833,Fast Leaving
41,190.66,36.58,-154.08,-38.2948038,Fast Approaching
42,62.91,109.86,46.95,11.67969818,Slow Leaving
43,58.28,4.18,-54.1,-13.48166989,Slow Approaching
44,67.32,141.16,73.84,18.36728674,Slow Leaving
45,136.81,25.89,-110.92,-27.60791099,Fast Approaching
46,42.2,128.29,86.09,21.41750871,Slow Leaving
47,120.68,23.86,-96.82,-24.09600422,Fast Approaching
48,54.75,163.86,109.11,27.12814111,Fast Leaving
49,139.14,15.65,-123.49,-30.7355794,Fast Approaching
50,68.06,1212.07,1144.01,280.0918157,Fast Leaving
51,57.48,27.93,-29.55,-7.36028655,Slow Approaching
52,140.06,188.2,48.14,11.95406086,Slow Leaving
53,94.58,5.67,-88.91,-22.14162822,Slow Approaching
54,79.67,169.67,90,22.36437316,Slow Leaving
55,49.22,29.62,-19.6,-4.884561293,Slow Approaching
56,134.91,190.29,55.38,13.74658255,Slow Leaving
57,146.47,22.57,-123.9,-30.82462509,Fast Approaching
58,60.6,1211.66,1151.06,281.8532804,Fast Leaving
59,1212.65,1211.72,-0.93,-0.224077997,Stationary
60,1211.63,265.25,-946.38,-231.0821428,Fast Approaching
61,189.54,316.25,126.71,31.37330423,Fast Leaving
62,318.84,1211.51,892.67,217.8035545,Fast Leaving
63,314.49,189,-125.49,-31.0685279,Fast Approaching
64,135.73,13.18,-122.55,-30.49766011,Fast Approaching
65,52.51,180.18,127.67,31.73226479,Fast Leaving
66,1211.44,108.06,-1103.38,-270.0164252,Fast Approaching
67,50.64,127.69,77.05,19.16766373,Slow Leaving
68,119.68,41.41,-78.27,-19.47420447,Slow Approaching
69,40.6,133.9,93.3,23.20869931,Fast Leaving
70,168.95,1211.46,1042.51,254.8754884,Fast Leaving
71,164.31,164.52,0.21,0.052123308,Stationary
72,169.23,166.53,-2.7,-0.670383417,Stationary
73,165.61,165.09,-0.52,-0.129063015,Stationary
74,168.16,165.88,-2.28,-0.566077592,Stationary
75,166.45,166.3,-0.15,-0.037230123,Stationary
